1379	body_diff
BODY diff	chrispatterson/2008/02/17/developing-for-windows-on-mac-os-x/index.html
BODY diff	chrispatterson/2008/06/02/enhancements-to-masstransit-or-weekend-of-coding/index.html
BODY diff	chrispatterson/2008/08/29/managing-long-lived-transactions-with-masstransit-saga/index.html
BODY diff	chrispatterson/2008/09/03/masstransit-0-3-released/index.html
BODY diff	chrispatterson/2008/10/12/tulsa-techfest-wrap-up/index.html
BODY diff	chrispatterson/2008/12/21/simplified-masstransit-configuration/index.html
BODY diff	chrispatterson/2008/12/26/masstransit-turns-one-year-old-celebrations-held-around-the-world/index.html
BODY diff	chrispatterson/2009/02/09/developing-for-the-iphone/index.html
BODY diff	chrispatterson/2009/07/02/i-m-a-microsoft-c-mvp/index.html
BODY diff	chrispatterson/2009/10/29/building-a-service-gateway-using-masstransit-part-2/index.html
BODY diff	chrispatterson/2009/11/01/building-a-service-gateway-using-masstransit-part-3/index.html
BODY diff	chrispatterson/2009/12/23/traveling-to-technical-events/index.html
BODY diff	chrispatterson/2010/01/02/leveraging-windows-7-boot-to-vhd-to-test-visual-studio-2010/index.html
BODY diff	chrispatterson/2011/03/24/the-right-tool-the-right-time/index.html
BODY diff	chrispatterson/2011/05/03/masstransit-v2-0-beta-available-now-on-nuget/index.html
BODY diff	chrispatterson/2011/11/16/masstransit-v2-0-1-available/index.html
BODY diff	chrispatterson/2012/04/11/odoyule-rules-engine-for-net/index.html
BODY diff	chrispatterson/2012/07/02/received-my-4th-visual-c-mvp-award/index.html
BODY diff	chrispatterson/2012/07/06/masstransit-v2-5-3-now-supports-the-tpl/index.html
BODY diff	chrispatterson/2012/07/18/benchmarque-comparative-benchmarking-for-net/index.html
BODY diff	chrispatterson/2012/11/29/idisposable-done-right/index.html
BODY diff	chrispatterson/2013/03/28/implementing-routing-slip-with-masstransit/index.html
BODY diff	chrispatterson/2015/02/24/masstransit-3-api-changes/index.html
BODY diff	chrispatterson/2015/06/16/masstransit-v3-update/index.html
BODY diff	chrispatterson/2015/09/11/sagas-state-machines-and-abandoned-carts/index.html
BODY diff	christaylor/2009/02/10/part-five-a-response-to-traps-amp-pitfalls-of-agile-development-a-non-contrarian-view/index.html
BODY diff	christaylor/2009/02/10/part-four-a-response-to-traps-amp-pitfalls-of-agile-development-a-non-contrarian-view/index.html
BODY diff	christaylor/2009/02/10/part-three-a-response-to-traps-amp-pitfalls-of-agile-development-a-non-contrarian-view/index.html
BODY diff	christaylor/2009/02/10/part-two-a-response-to-traps-amp-pitfalls-of-agile-development-a-non-contrarian-view/index.html
BODY diff	colinjack/2008/10/22/ddd-and-complexity/index.html
BODY diff	colinjack/2008/10/23/what-i-want-from-an-orm/index.html
BODY diff	colinjack/2008/10/28/biztalk-and-wcf-when-two-big-beasts-collide/index.html
BODY diff	colinjack/2008/12/28/soa-principles-of-service-design/index.html
BODY diff	colinjack/2009/06/24/e-van-alan-dean-talking-on-rest-6th-july-2009/index.html
BODY diff	colinjack/2009/10/26/soa-manifesto/index.html
BODY diff	colinramsay/2007/10/01/working-with-interfaces-part-one-contracts/index.html
BODY diff	colinramsay/2007/10/08/why-alt-net/index.html
BODY diff	colinramsay/2007/10/09/working-with-interfaces-part-one-decoupling/index.html
BODY diff	colinramsay/2007/11/21/working-with-interfaces-part-three-windsor/index.html
BODY diff	colinramsay/2007/12/08/you-have-nothing-to-fear-from-javascript/index.html
BODY diff	colinramsay/2008/01/17/javascript-patterns-amp-practices/index.html
BODY diff	colinramsay/2008/12/07/parsing-xml-like-files/index.html
BODY diff	colinramsay/2009/01/25/castle-microkernel-fluent-event-wiring/index.html
BODY diff	derekgreer/2007/08/25/interactive-application-architecture/index.html
BODY diff	derekgreer/2008/01/17/an-early-glimpse-of-future-composite-smart-client-guidance/index.html
BODY diff	derekgreer/2009/03/01/implementing-inotifyproperychanged-with/index.html
BODY diff	derekgreer/2009/10/05/the-arrow-anti-pattern/index.html
BODY diff	derekgreer/2010/02/11/resharper-naming-style-for-machine-specifications/index.html
BODY diff	derekgreer/2010/03/14/git-anonymous-access-under-windows/index.html
BODY diff	derekgreer/2010/04/08/getting-started-with-cygwin/index.html
BODY diff	derekgreer/2010/04/19/double-dispatch-is-a-code-smell/index.html
BODY diff	derekgreer/2010/04/23/the-agile-visitor/index.html
BODY diff	derekgreer/2010/06/28/ncommons-rules-engine/index.html
BODY diff	derekgreer/2010/07/09/windows-friendly-cygwin-paths/index.html
BODY diff	derekgreer/2011/03/07/effective-tests-introduction/index.html
BODY diff	derekgreer/2011/03/28/effective-tests-a-test-first-example-part-1/index.html
BODY diff	derekgreer/2011/03/29/effective-tests-how-faking-it-can-help-you/index.html
BODY diff	derekgreer/2011/04/04/effective-tests-a-test-first-example-part-2/index.html
BODY diff	derekgreer/2011/04/24/effective-tests-a-test-first-example-part-4/index.html
BODY diff	derekgreer/2011/04/29/single-action-controllers-with-asp-net-mvc/index.html
BODY diff	derekgreer/2011/05/01/effective-tests-a-test-first-example-part-5/index.html
BODY diff	derekgreer/2011/05/15/effective-tests-test-doubles/index.html
BODY diff	derekgreer/2011/05/26/effective-tests-double-strategies/index.html
BODY diff	derekgreer/2011/05/31/cohesion-and-controller-ontology/index.html
BODY diff	derekgreer/2011/05/31/effective-tests-auto-mocking-containers/index.html
BODY diff	derekgreer/2011/06/11/effective-tests-custom-assertions/index.html
BODY diff	derekgreer/2011/06/24/effective-tests-expected-objects/index.html
BODY diff	derekgreer/2011/06/28/introducing-the-expected-objects-library/index.html
BODY diff	derekgreer/2011/07/19/effective-tests-avoiding-context-obscurity/index.html
BODY diff	derekgreer/2011/09/05/effective-tests-acceptance-tests/index.html
BODY diff	derekgreer/2011/09/18/dependency-management-in-net/index.html
BODY diff	derekgreer/2011/09/20/dependency-management-in-net-using-nuget-without-visual-studio/index.html
BODY diff	derekgreer/2011/09/21/dependency-management-in-net-get/index.html
BODY diff	derekgreer/2011/09/27/dependency-management-in-net-install2/index.html
BODY diff	derekgreer/2011/10/18/how-to-produce-bug-free-software/index.html
BODY diff	derekgreer/2012/03/05/rabbitmq-for-windows-introduction/index.html
BODY diff	derekgreer/2012/03/07/rabbitmq-for-windows-building-your-first-application/index.html
BODY diff	derekgreer/2012/03/18/rabbitmq-for-windows-hello-world-review/index.html
BODY diff	derekgreer/2012/03/28/rabbitmq-for-windows-exchange-types/index.html
BODY diff	derekgreer/2012/05/16/rabbitmq-for-windows-fanout-exchanges/index.html
BODY diff	derekgreer/2012/05/18/rabbitmq-for-windows-topic-exchanges/index.html
BODY diff	derekgreer/2012/05/29/rabbitmq-for-windows-headers-exchanges/index.html
BODY diff	derekgreer/2013/11/17/expected-objects-custom-comparisons/index.html
BODY diff	derekgreer/2015/03/08/introducing-nunit-specifications/index.html
BODY diff	derekgreer/2015/11/01/survey-of-entity-framework-unit-of-work-patterns/index.html
BODY diff	derekgreer/2016/08/30/exploring-typescript/index.html
BODY diff	derekgreer/2017/05/25/hello-react-a-beginners-setup-tutorial/index.html
BODY diff	derekgreer/2018/02/20/ditch-the-repository-pattern-already/index.html
BODY diff	derekgreer/2020/11/20/conventional-options/index.html
BODY diff	derekgreer/2020/12/10/dotnet-project-builds-with-npm/index.html
BODY diff	derekgreer/2022/05/25/user-stories/index.html
BODY diff	derekgreer/2022/05/27/magical-joy/index.html
BODY diff	derekgreer/2022/05/31/pragmatic-deferral/index.html
BODY diff	derickbailey/2008/10/08/di-and-ioc-creating-and-working-with-a-cloud-of-objects/index.html
BODY diff	derickbailey/2008/10/20/dependency-inversion-abstraction-does-not-mean-interface/index.html
BODY diff	derickbailey/2008/10/28/finding-design-smells-in-non-design-related-places/index.html
BODY diff	derickbailey/2008/11/27/mapping-a-state-pattern-with-nhibernate/index.html
BODY diff	derickbailey/2008/12/08/kanban-in-software-development-part-1-introducing-kanban-boards-and-pipelines/index.html
BODY diff	derickbailey/2008/12/08/kanban-in-software-development-part-2-completing-the-kanban-board-with-queues-order-points-and-limits/index.html
BODY diff	derickbailey/2008/12/15/kanban-in-software-development-part-2-5-a-variation-on-queues-pipelines-for-wip-and-done/index.html
BODY diff	derickbailey/2008/12/19/kanban-in-software-development-part-3-andon-and-jidoka-handling-bugs-and-emergency-fixes-in-kanban/index.html
BODY diff	derickbailey/2009/01/23/management-vs-leadership/index.html
BODY diff	derickbailey/2009/01/31/favor-defect-prevention-over-quality-inspection-and-correction/index.html
BODY diff	derickbailey/2009/02/05/why-should-attach-view-to-presenter-is-an-invalid-unit-test-observation/index.html
BODY diff	derickbailey/2009/02/15/proactive-vs-reactive-validation-don-t-we-need-both/index.html
BODY diff	derickbailey/2009/02/20/one-team-one-aim-it-s-all-about-the-journey-not-the-goal/index.html
BODY diff	derickbailey/2009/02/23/closures-in-c-variable-scoping-and-value-types-vs-reference-types/index.html
BODY diff	derickbailey/2009/03/08/book-review-the-art-of-lean-software-development/index.html
BODY diff	derickbailey/2009/03/23/the-emergence-of-knowledge-in-software-development/index.html
BODY diff	derickbailey/2009/03/24/why-no-issues-is-not-an-acceptable-answer/index.html
BODY diff	derickbailey/2009/04/08/how-a-net-developer-learned-ruby-and-rake-to-build-net-apps-in-windows/index.html
BODY diff	derickbailey/2009/04/18/decoupling-workflow-and-forms-with-an-application-controller/index.html
BODY diff	derickbailey/2009/05/14/fluentnhibernate-contrib-fnh-contrib-is-alive/index.html
BODY diff	derickbailey/2009/05/15/balsamiq-and-a-sneak-preview-of-my-decoupling-workflow-presentation/index.html
BODY diff	derickbailey/2009/05/19/a-net-c-developer-s-gitignore-file/index.html
BODY diff	derickbailey/2009/05/19/result-lt-t-gt-directing-workflow-with-a-return-status-and-value/index.html
BODY diff	derickbailey/2009/06/01/austin-code-camp-2009-was-a-ton-o-fun/index.html
BODY diff	derickbailey/2009/06/03/i-m-presenting-solid-at-alamocoders-on-june-9th/index.html
BODY diff	derickbailey/2009/06/17/i-m-presenting-solid-at-north-dallas-net-nddnug-july-8th/index.html
BODY diff	derickbailey/2009/06/18/a-kanban-is-just-a-signal-to-do-work/index.html
BODY diff	derickbailey/2009/06/20/cloning-or-converting-linux-vm-from-vmware-workstation-to-esx-server-eth0-gone-eth1-available/index.html
BODY diff	derickbailey/2009/06/25/how-to-highly-complex-query-generating-based-on-security-needs/index.html
BODY diff	derickbailey/2009/07/13/kanban-is-process-control-not-a-process-for-adding-value-to-wip/index.html
BODY diff	derickbailey/2009/07/15/branch-per-feature-source-control-part-1-why/index.html
BODY diff	derickbailey/2009/07/15/storage-size-and-performance-implications-of-a-guid-pk/index.html
BODY diff	derickbailey/2009/07/21/branch-per-feature-source-control-part-2-how-theory/index.html
BODY diff	derickbailey/2009/08/04/daycare-as-a-kanban-system/index.html
BODY diff	derickbailey/2009/08/05/how-to-get-started-with-kanban-in-software-development/index.html
BODY diff	derickbailey/2009/08/12/a-response-to-5-right-reasons-to-apply-kanban/index.html
BODY diff	derickbailey/2009/08/14/kanban-in-time-boxes-the-cadence-of-wip-and-sprints/index.html
BODY diff	derickbailey/2009/08/17/zen-and-the-art-of-software-development/index.html
BODY diff	derickbailey/2009/08/27/how-to-get-started-with-selenium-core-and-asp-net-mvc/index.html
BODY diff	derickbailey/2009/09/01/wip-queues-done-vs-ready/index.html
BODY diff	derickbailey/2009/09/03/a-kanban-board-is-a-production-leveling-task-board/index.html
BODY diff	derickbailey/2009/09/11/a-response-to-the-future-of-the-boutique-software-shop/index.html
BODY diff	derickbailey/2009/09/11/some-initial-thoughts-on-agile-developer-skills-and-certification/index.html
BODY diff	derickbailey/2009/09/17/a-failed-opportunity-to-coach-teach-and-help-others-improve/index.html
BODY diff	derickbailey/2009/09/18/help-e-text-editor-can-t-run-my-rake-tasks/index.html
BODY diff	derickbailey/2009/09/23/albacore-a-suite-of-rake-build-tasks-for-net-solutions/index.html
BODY diff	derickbailey/2009/10/08/the-ultimate-hello-world/index.html
BODY diff	derickbailey/2009/11/04/a-time-for-change/index.html
BODY diff	derickbailey/2009/11/09/electronic-kanban-tools-and-wip-limits-leankitkanban-gets-it/index.html
BODY diff	derickbailey/2009/11/27/albacore-all-a-twitter-with-a-new-logo-tag-line-and-url/index.html
BODY diff	derickbailey/2009/12/23/understanding-the-application-controller-through-object-messaging-patterns/index.html
BODY diff	derickbailey/2010/01/19/active-vs-activist/index.html
BODY diff	derickbailey/2010/02/01/are-we-continuously-improving-or-just-continuously-changing/index.html
BODY diff	derickbailey/2010/02/03/branch-per-feature-how-i-manage-subversion-with-git-branches/index.html
BODY diff	derickbailey/2010/02/06/using-roi-as-a-constraint-not-an-end-in-itself/index.html
BODY diff	derickbailey/2010/02/24/branching-strategies-the-cost-of-branching-and-merging/index.html
BODY diff	derickbailey/2010/02/24/branching-strategies-when-to-branch-and-merge/index.html
BODY diff	derickbailey/2010/03/06/don-t-expose-ilist-lt-t-gt-just-so-you-can-assert-against-its-contents/index.html
BODY diff	derickbailey/2010/03/15/semantic-code-migrating-from-a-chatty-interface-to-a-simple-one-with-a-data-transfer-object/index.html
BODY diff	derickbailey/2010/03/17/application-events-modeling-selection-vs-de-selection-as-separate-events/index.html
BODY diff	derickbailey/2010/03/19/a-response-concerning-semantics-and-intention-revealing-code/index.html
BODY diff	derickbailey/2010/03/23/running-ruby-and-rake-and-albacore-without-installing-them/index.html
BODY diff	derickbailey/2010/03/25/red-green-refactor-for-the-right-reasons/index.html
BODY diff	derickbailey/2010/04/01/git-how-to-revert-a-branch-merge/index.html
BODY diff	derickbailey/2010/04/01/git-oops-i-changed-those-files-in-the-wrong-branch/index.html
BODY diff	derickbailey/2010/04/02/git-svn-script-to-do-svn-up-and-git-commit-with-svn-revision-number/index.html
BODY diff	derickbailey/2010/04/05/red-for-the-right-reason-fail-by-assertion-not-by-anything-else/index.html
BODY diff	derickbailey/2010/04/08/want-to-work-from-home-doing-net-development-read-this/index.html
BODY diff	derickbailey/2010/04/15/adding-request-reply-to-the-application-controller/index.html
BODY diff	derickbailey/2010/04/21/resource-usage-ioc-containers-and-large-object-graphs/index.html
BODY diff	derickbailey/2010/04/23/using-vim-as-your-c-code-editor-from-visual-studio/index.html
BODY diff	derickbailey/2010/04/26/lean-software-amp-systems-conference-2010-lssc10-review/index.html
BODY diff	derickbailey/2010/05/03/zentest-autospec-is-an-rspec-tdder-s-best-friend/index.html
BODY diff	derickbailey/2010/05/04/rhino-mocks-recursion-and-multiple-return-values-from-stubs/index.html
BODY diff	derickbailey/2010/05/05/trying-to-get-vim-intellisense-working-help/index.html
BODY diff	derickbailey/2010/05/11/vim-grep-find-all-occurrences-of-text-in-your-project/index.html
BODY diff	derickbailey/2010/05/20/book-review-web-design-for-developers/index.html
BODY diff	derickbailey/2010/05/24/simplify-your-unit-tests-with-auto-mocking-part-1-helper-methods/index.html
BODY diff	derickbailey/2010/05/25/simplify-your-unit-tests-with-automocking-part-2-establishing-context/index.html
BODY diff	derickbailey/2010/05/26/the-dangers-of-automocking-containers/index.html
BODY diff	derickbailey/2010/05/28/health-accountability-and-technology/index.html
BODY diff	derickbailey/2010/06/08/git-d-oh-i-meant-to-create-a-new-branch-first/index.html
BODY diff	derickbailey/2010/06/09/git-oops-i-forgot-to-add-those-new-files-before-committing/index.html
BODY diff	derickbailey/2010/06/14/work-in-process-wip-limits-policies-etc/index.html
BODY diff	derickbailey/2010/07/22/why-is-git-trying-to-delete-my-project-folder/index.html
BODY diff	derickbailey/2010/07/27/vendor-lock-in-vs-best-of-breed-tools/index.html
BODY diff	derickbailey/2010/08/07/bring-out-yer-dead-clang/index.html
BODY diff	derickbailey/2010/09/01/knowing-when-to-ask/index.html
BODY diff	derickbailey/2010/09/30/monads-in-c-which-part-is-the-monad/index.html
BODY diff	derickbailey/2010/10/11/ruby-v1-9-2-on-windows-can-t-find-executable-rake-for-rake-0-8-7/index.html
BODY diff	derickbailey/2010/11/03/a-response-to-what-is-an-interface-by-john-sonmez/index.html
BODY diff	derickbailey/2010/11/24/my-osx-terminal-prompt-reposted-from-tumblr/index.html
BODY diff	derickbailey/2010/11/25/replicating-my-osx-terminal-in-win7-with-git-bash-mingw32-and-pik/index.html
BODY diff	derickbailey/2010/12/01/don-t-make-me-choose-to-follow-the-standards/index.html
BODY diff	derickbailey/2010/12/15/a-semi-intelligent-watchr-script-for-rails-and-rspec/index.html
BODY diff	derickbailey/2010/12/15/an-interesting-quot-feature-quot-in-ruby-s-datetime-parse/index.html
BODY diff	derickbailey/2010/12/17/verifying-generated-html-with-haml-cucumber-capybara-and-rspec/index.html
BODY diff	derickbailey/2011/01/14/mocks-stubs-and-unreadable-tests-clearly-i-m-doing-this-wrong/index.html
BODY diff	derickbailey/2011/01/18/i-use-inheritance-and-i-m-not-entirely-ashamed-of-it-should-i-be/index.html
BODY diff	derickbailey/2011/01/21/creating-growl-notifications-from-a-macruby-app/index.html
BODY diff	derickbailey/2011/01/23/responding-to-growl-notification-clicks-and-timeouts-with-macruby/index.html
BODY diff	derickbailey/2011/02/01/good-refactoring-patterns-for-simple-ui-logic/index.html
BODY diff	derickbailey/2011/02/04/hiding-sensitive-information-with-a-base64-encoded-dictionary-and-binary-serialization/index.html
BODY diff	derickbailey/2011/02/23/git-d-oh-i-didn-t-want-to-delete-that-branch/index.html
BODY diff	derickbailey/2011/02/23/git-oops-i-didn-t-mean-to-commit-on-that-remote-tracking-branch/index.html
BODY diff	derickbailey/2011/02/24/how-to-have-bundler-load-a-custom-gem-into-a-rails-3-app/index.html
